+-----+-------------------------------------------------+-----+-------+-------------------------------------------+---------------------+----------+
|  No |                   Mata Kuliah                   | SKS | Kelas |                   Dosen                   |        Waktu        | Ruangan  |
|  70 |                                                 |  3  |   D   |      Arfiani Nur Khusna, S.T., M.Kom.     |     SEL10, SEL11    | 4.1.5.61 |
|  71 |                                                 |  3  |   E   |     Faisal Fajri Rahani, S.Si., M.Cs.     |      JUM7, JUM8     | 4.1.5.55 |
|  72 |                                                 |  3  |   F   |     Faisal Fajri Rahani, S.Si., M.Cs.     |     RAB10, RAB11    | 4.1.5.56 |
|  73 |                                                 |  3  |   G   |      Arfiani Nur Khusna, S.T., M.Kom.     |      SEL2, SEL3     | 4.1.5.56 |
|  74 |                                                 |  3  |   H   |          Mushlihudin, S.T., M.T.          |      SEN4, SEN5     | 4.1.5.63 |
|  75 |                                                 |  3  |   I   |          Ali Tarmuji, S.T., M.Cs.         |      SEN7, SEN8     | 4.1.5.65 |
|  76 |                                                 |  3  |   J   |     Faisal Fajri Rahani, S.Si., M.Cs.     |      RAB7, RAB8     | 4.1.5.65 |
|  77 |                                                 |  3  |   K   |      Arfiani Nur Khusna, S.T., M.Kom.     |      SAB2, SAB3     | 4.1.5.58 |
|  78 |          Interaksi Manusia dan Komputer         |  3  |   A   |           Supriyanto, S.T., M.T.          |     SEL10, SEL11    | 4.1.5.64 |
|  79 |                                                 |  3  |   B   |           Supriyanto, S.T., M.T.          |      SAB7, SAB8     | 4.1.5.58 |
|  80 |                                                 |  3  |   C   |        Dwi Normawati, S.T., M.Eng.        |     JUM10, JUM11    | 4.1.5.55 |
|  81 |                                                 |  3  |   D   |        Dwi Normawati, S.T., M.Eng.        |      SEN1, SEN2     | 4.1.5.57 |
|  82 |                                                 |  3  |   E   |         Jefree Fahana, S.T., M.Kom        |      SEN2, SEN3     | 4.1.5.63 |
|  83 |                                                 |  3  |   F   |         Jefree Fahana, S.T., M.Kom        |      SEL2, SEL3     | 4.1.5.63 |
|  84 |                                                 |  3  |   G   |      Murein Miksa Mardhia, S.T., M.T.     |      RAB1, RAB2     | 4.1.5.55 |
|  85 |                                                 |  3  |   H   |      Murein Miksa Mardhia, S.T., M.T.     |     SAB10, SAB11    | 4.1.5.57 |
|  86 |                                                 |  3  |   I   |      Murein Miksa Mardhia, S.T., M.T.     |      SEL3, SEL4     | 4.1.5.64 |
|  87 |                                                 |  3  |   J   |      Murein Miksa Mardhia, S.T., M.T.     |      JUM2, JUM3     | 4.1.5.60 |
|  88 |                                                 |  3  |   K   |         Jefree Fahana, S.T., M.Kom        |      SEN2, SEN3     | 4.1.5.61 |
|  89 |                Kecerdasan Buatan                |  3  |   A   |         Sri Winiarti, S.T., M.Cs.         |     SAB10, SAB11    | 4.1.5.62 |
|  90 |                                                 |  3  |   B   |         Sri Winiarti, S.T., M.Cs.         |      SAB2, SAB3     | 4.1.5.56 |
|  91 |                                                 |  3  |   C   | Anna Hendri Soleliza Jones, S.Kom., M.Cs. |      SEN7, SEN8     | 4.1.5.60 |
|  92 |                                                 |  3  |   D   | Anna Hendri Soleliza Jones, S.Kom., M.Cs. |      RAB4, RAB5     | 4.1.5.65 |
|  93 |                                                 |  3  |   E   |    Miftahurrahma Rosyda, S.Kom., M.Eng.   |      SEL4, SEL5     | 4.1.5.56 |
|  94 |                                                 |  3  |   F   | Anna Hendri Soleliza Jones, S.Kom., M.Cs. |     SEN10, SEN11    | 4.1.5.62 |
|  95 |                                                 |  3  |   G   |         Sri Winiarti, S.T., M.Cs.         |      RAB2, RAB3     | 4.1.5.64 |
|  96 |                                                 |  3  |   H   |    Miftahurrahma Rosyda, S.Kom., M.Eng.   |     KAM10, KAM11    | 4.1.5.58 |
|  97 |                                                 |  3  |   I   | Anna Hendri Soleliza Jones, S.Kom., M.Cs. |      SEL4, SEL5     | 4.1.5.65 |
|  98 |                                                 |  3  |   J   |         Sri Winiarti, S.T., M.Cs.         |     JUM10, JUM11    | 4.1.5.60 |
|  99 |                                                 |  3  |   K   |         Sri Winiarti, S.T., M.Cs.         |      RAB2, RAB3     | 4.1.5.57 |
| 100 |                 Grafika Komputer                |  3  |   A   |           Murinto, S.Si., M.Kom.          |     SEN10, SEN11    | 4.1.5.61 |
| 101 |                                                 |  3  |   B   |           Murinto, S.Si., M.Kom.          |      JUM4, JUM5     | 4.1.5.64 |
| 102 |                                                 |  3  |   C   |         Adhi Prahara, S.Si., M.Cs.        |      SEL4, SEL5     | 4.1.5.63 |
| 103 |                                                 |  3  |   D   |         Adhi Prahara, S.Si., M.Cs.        |      SEL2, SEL3     | 4.1.5.59 |
| 104 |                                                 |  3  |   E   |         Adhi Prahara, S.Si., M.Cs.        |      SEL7, SEL8     | 4.1.5.61 |
| 105 |                                                 |  3  |   F   |           Murinto, S.Si., M.Kom.          |      SEN7, SEN8     | 4.1.5.57 |
| 106 |                                                 |  3  |   G   |        Ahmad Azhari, S.Kom., M.Eng.       |     JUM10, JUM11    | 4.1.5.56 |
| 107 |                                                 |  3  |   H   |        Ahmad Azhari, S.Kom., M.Eng.       |      KAM4, KAM5     | 4.1.5.63 |
| 108 |                                                 |  3  |   I   |        Ahmad Azhari, S.Kom., M.Eng.       |      SEN1, SEN2     | 4.1.5.56 |
| 109 |                                                 |  3  |   J   |        Ahmad Azhari, S.Kom., M.Eng.       |      RAB7, RAB8     | 4.1.5.55 |
| 110 |                                                 |  3  |   K   |           Murinto, S.Si., M.Kom.          |      SAB2, SAB3     | 4.1.5.60 |
| 111 |      Komunikasi Data dan Jaringan Komputer      |  3  |   A   |         Taufiq Ismail, S.T., M.Cs.        |   KAM7, KAM8, KAM9  | 4.1.5.62 |
| 112 |                                                 |  3  |   B   |          Mushlihudin, S.T., M.T.          |   SAB4, SAB5, SAB6  | 4.1.5.57 |
| 113 |                                                 |  3  |   C   |          Mushlihudin, S.T., M.T.          |   KAM7, KAM8, KAM9  | 4.1.5.59 |
| 114 |                                                 |  3  |   D   |          Mushlihudin, S.T., M.T.          | SEL10, SEL11, SEL12 | 4.1.5.62 |
| 115 |                                                 |  3  |   E   |         Taufiq Ismail, S.T., M.Cs.        |   SEL4, SEL5, SEL6  | 4.1.5.58 |
| 116 |                                                 |  3  |   F   |          Nuril Anwar, S.T., M.Kom         |   KAM2, KAM3, KAM4  | 4.1.5.57 |
| 117 |                                                 |  3  |   G   |          Nuril Anwar, S.T., M.Kom         |   JUM7, JUM8, JUM9  | 4.1.5.60 |
| 118 |                                                 |  3  |   H   |          Nuril Anwar, S.T., M.Kom         |   SEL7, SEL8, SEL9  | 4.1.5.61 |
| 119 |                                                 |  3  |   I   |   Guntur Maulana Zamroni, B.Sc., M.Kom.   |   SEN2, SEN3, SEN4  | 4.1.5.55 |
| 120 |                                                 |  3  |   J   |   Guntur Maulana Zamroni, B.Sc., M.Kom.   |   SAB3, SAB4, SAB5  | 4.1.5.59 |
